Image,label
img\Sheer_Pleated-Front_Blouse\img_00000013.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000045.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000058.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000064.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000080.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000084.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000091.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000096.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000108.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000117.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000121.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000127.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000129.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000134.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000140.jpg,0
img\Sheer_Pleated-Front_Blouse\img_00000149.jpg,0
img\Sheer_Woven_Blouse\img_00000006.jpg,0
img\Sheer_Woven_Blouse\img_00000014.jpg,0
img\Sheer_Woven_Blouse\img_00000019.jpg,0
img\Sheer_Woven_Blouse\img_00000040.jpg,0
img\Sheer_Woven_Blouse\img_00000065.jpg,0
img\Sheer_Woven_Blouse\img_00000068.jpg,0
img\Sheer_Woven_Blouse\img_00000072.jpg,0
img\Sheer_Woven_Blouse\img_00000074.jpg,0
img\Sheer_Woven_Blouse\img_00000091.jpg,0
img\Sheer_Woven_Blouse\img_00000102.jpg,0
img\Sheer_Woven_Blouse\img_00000108.jpg,0
img\Sheer_Woven_Blouse\img_00000116.jpg,0
img\Sheer_Woven_Blouse\img_00000120.jpg,0
img\Sheer_Woven_Blouse\img_00000131.jpg,0
img\Shirred_Floral-Embroidered_Blouse\img_00000029.jpg,0
img\Shirred_Floral-Embroidered_Blouse\img_00000032.jpg,0
img\Shirred_Floral-Embroidered_Blouse\img_00000035.jpg,0
img\Shirred_Floral-Embroidered_Blouse\img_00000040.jpg,0
img\Shirred_Floral-Embroidered_Blouse\img_00000042.jpg,0
